I0,I1,I2,I3,l5
0.185783,0.357482,0.913546,-1.406674,
0.185783,0.357482,0.913546,-1.407056,
0.185783,0.357482,0.913546,-1.407056,
0.185783,0.357482,0.913546,-1.407056,
0.185783,0.357482,0.913546,-1.407056,
0.185783,0.357482,0.913546,-1.406674,
0.185783,0.357482,0.913546,-1.407056,
0.185783,0.357482,0.913546,-1.407056,
0.185783,0.357482,0.913546,-1.407056,
0.185783,0.357482,0.913546,-1.407056,
0.185783,0.357482,0.913546,-1.406674,
0.185783,0.357482,0.915272,-1.407056,
0.185783,0.357482,0.916997,-1.407056,
0.185783,0.357482,0.916997,-1.407437,
0.185783,0.357482,0.916997,-1.407819,
0.185783,0.357482,0.915272,-1.407819,
0.185783,0.357482,0.915272,-1.407819,
0.185783,0.357482,0.913546,-1.407819,
0.185783,0.355757,0.906645,-1.407819,
0.185783,0.355757,0.898019,-1.407437,
0.185783,0.355757,0.892843,-1.407056,
0.185783,0.355757,0.891117,-1.406674,
0.185783,0.357482,0.892843,-1.406674,
0.185783,0.357482,0.892843,-1.406293,
0.185783,0.357482,0.891117,-1.402478,
0.185783,0.357482,0.891117,-1.391415,
0.185783,0.357482,0.887667,-1.382259,
0.185783,0.357482,0.887667,-1.382259,
0.185783,0.357482,0.887667,-1.381878,
0.185783,0.357482,0.887667,-1.381878,
0.185783,0.357482,0.887667,-1.381878,
0.185783,0.357482,0.887667,-1.381115,
0.185783,0.357482,0.887667,-1.381115,
0.185783,0.357482,0.887667,-1.381115,
0.185783,0.355757,0.887667,-1.381115,
0.185783,0.354032,0.887667,-1.381115,
0.185783,0.354032,0.887667,-1.381115,
0.185783,0.352306,0.887667,-1.381115,
0.185783,0.348855,0.887667,-1.380733,
0.185773,0.345405,0.887667,-1.380733,
0.183032938,0.34368,0.887667,-1.380352,
0.180292875,0.341954,0.889392,-1.376919,
0.177552813,0.340229,0.889392,-1.368145,
0.17481275,0.341954,0.887667,-1.355556,
0.172072688,0.341954,0.887667,-1.349453,
0.169332625,0.340229,0.887667,-1.349453,
0.166592563,0.336779,0.887667,-1.349072,
0.1638525,0.336779,0.887667,-1.350597,
0.161112438,0.335053,0.887667,-1.35136,
0.158372375,0.331603,0.887667,-1.355175,
0.155632313,0.329877,0.889392,-1.354031,
0.15289225,0.329877,0.887667,-1.35136,
0.150152188,0.328152,0.884216,-1.339916,
0.147412125,0.328152,0.87904,-1.332286,
0.144672063,0.324701,0.870414,-1.325038,
0.141932,0.324701,0.866963,-1.320079,
0.141932,0.324701,0.866963,-1.316264,
0.141932,0.324701,0.868688,-1.315501,
0.141932,0.324701,0.866963,-1.316264,
0.141932,0.324701,0.868688,-1.315883,
0.141932,0.324701,0.866963,-1.315883,
0.141932,0.324701,0.866963,-1.31512,
0.141932,0.324701,0.866963,-1.313975,
0.141228,0.324701,0.863513,-1.311687,
0.141508,0.324701,0.856611,-1.309016,
0.147989938,0.324701,0.856611,-1.308635,
0.154471875,0.326427,0.860062,-1.313212,
0.160953813,0.329877,0.860062,-1.313594,
0.16743575,0.329877,0.861787,-1.314357,
0.173917688,0.329877,0.863513,-1.314357,
0.180399625,0.331603,0.865238,-1.314357,
0.186881563,0.333328,0.865238,-1.315883,
0.1933635,0.335053,0.872139,-1.324275,
0.199845438,0.341954,0.873864,-1.337626,
0.206327375,0.352306,0.872139,-1.354031,
0.212809313,0.359207,0.877315,-1.375774,
0.21929125,0.364383,0.889392,-1.391796,
0.225773188,0.366109,0.899744,-1.396374,
0.232255125,0.364383,0.927349,-1.40057,
0.238737063,0.348855,0.973932,-1.40057,
0.246997,0.326427,1.02224,-1.40057,
0.246836,0.307448,1.086076,-1.406293,
0.246836,0.264316,1.229276,-1.436429,
0.246836,0.224634,1.370751,-1.476103,
0.246836,0.195304,1.503599,-1.502424,
0.246836,0.164248,1.638172,-1.519972,
0.246836,0.143545,1.762394,-1.51959,
0.246836,0.138369,1.862461,-1.51959,
0.246836,0.136644,1.948726,-1.51425,
0.246836,0.148721,2.048794,-1.473433,
0.246836,0.162523,2.105728,-1.439862,
0.246836,0.17115,2.136784,-1.411633,
0.243332424,0.217733,2.176466,-1.350979,
0.239828848,0.255689,2.178191,-1.310542,
0.236325272,0.312624,2.162663,-1.236917,
0.232821696,0.362658,2.136784,-1.159478,
0.22931812,0.391988,2.117806,-1.113701,
0.225814544,0.419593,2.102278,-1.075934,
0.222310968,0.447198,2.078124,-1.037787,
0.218807392,0.473077,2.059146,-0.992392,
0.215303816,0.483429,2.02809,-0.907323,
0.21180024,0.492056,2.016013,-0.889011,
0.208296664,0.498957,2.003936,-0.879856,
0.204793088,0.502408,1.984957,-0.834079,
0.201289512,0.483429,1.981507,-0.769228,
0.197785936,0.454099,1.983232,-0.72307,
0.19428236,0.419593,1.988408,-0.674623,
0.190778784,0.369559,1.988408,-0.589935,
0.187275208,0.359207,1.983232,-0.519361,
0.183771632,0.360933,1.96943,-0.431623,
0.180268056,0.374735,1.959078,-0.370968,
0.17676448,0.412692,1.950452,-0.217234,
0.173260904,0.440297,1.953902,-0.095543,
0.169757328,0.455824,1.957353,-0.047858,
0.166253752,0.478253,1.955627,-0.004751,
0.162750176,0.493781,1.952177,0.028055,
0.1592466,0.509309,1.934924,0.074214,
0.155743024,0.531737,1.886616,0.166532,
0.152239448,0.564518,1.840032,0.214215,
0.148735872,0.590397,1.824505,0.213071,
0.145232296,0.611101,1.808977,0.212308,
0.14172872,0.63008,1.7969,0.209638,
0.138225144,0.647333,1.786548,0.209638,
0.134721568,0.668036,1.779647,0.219174,
0.131217992,0.687015,1.779647,0.26457,
0.127714416,0.692191,1.781372,0.300811,
0.12421084,0.692191,1.788274,0.342772,
0.120707264,0.690465,1.7969,0.371765,
0.117203688,0.683564,1.819329,0.371002,
0.113700112,0.661135,1.883165,0.36261,
0.110196536,0.649058,1.903868,0.370239,
0.10669296,0.631805,1.903868,0.440812,
0.103189384,0.616277,1.903868,0.477816,
0.099685808,0.602475,1.907319,0.487734,
0.096182232,0.592123,1.912495,0.498796,
0.092678656,0.588673,1.912495,0.517488,
0.08917508,0.588673,1.91422,0.527025,
0.085671504,0.597299,1.931473,0.523211,
