I0,I1,I2,I3,I4,I5
0.185783,0.357482,0.913546,-1.406674,0.000000,0.000000
0.185783,0.357482,0.913546,-1.407056,0.000000,0.000000
0.185783,0.357482,0.913546,-1.407056,0.000000,0.000000
0.185783,0.357482,0.913546,-1.407056,0.000000,0.000000
0.185783,0.357482,0.913546,-1.407056,0.000000,0.000000
0.185783,0.357482,0.913546,-1.406674,0.000000,0.000000
0.185783,0.357482,0.913546,-1.407056,0.000000,0.000000
0.185784,0.357482,0.913546,-1.407056,0.000000,0.000000
0.185784,0.357482,0.913546,-1.407056,0.000000,0.000000
0.185784,0.357482,0.913546,-1.407056,0.000000,0.000000
0.185784,0.357482,0.913546,-1.406674,0.000000,0.000000
0.185784,0.357482,0.915272,-1.407056,0.000000,0.000000
0.185784,0.357482,0.916997,-1.407056,0.000000,0.000000
0.185784,0.357482,0.916997,-1.407437,0.000000,0.000000
0.185784,0.357482,0.916997,-1.407819,0.000000,0.000000
0.185784,0.357482,0.915272,-1.407819,0.000000,0.000000
0.185784,0.357482,0.915272,-1.407819,0.000000,0.000000
0.185784,0.357482,0.913546,-1.407819,0.000000,0.000000
0.185783,0.355757,0.906645,-1.407819,0.000000,0.000000
0.185783,0.355757,0.898019,-1.407437,0.000000,0.000000
0.185783,0.355757,0.892843,-1.407056,0.000000,0.000000
0.185782,0.355757,0.891117,-1.406674,0.000000,0.000000
0.185782,0.357482,0.892843,-1.406674,0.000000,0.000000
0.185782,0.357482,0.892843,-1.406293,0.000000,0.000000
0.185782,0.357482,0.891117,-1.402478,0.000000,0.000000
0.185782,0.357482,0.891117,-1.391415,0.000000,0.000000
0.185782,0.357482,0.887667,-1.382259,0.000000,0.000000
0.185782,0.357482,0.887667,-1.382259,0.000000,0.000000
0.185782,0.357482,0.887667,-1.381878,0.000000,0.000000
0.185782,0.357482,0.887667,-1.381878,0.000000,0.000000
0.185782,0.357482,0.887667,-1.381878,0.000000,0.000000
0.185781,0.357482,0.887667,-1.381115,0.000000,0.000000
0.185781,0.357482,0.887667,-1.381115,0.000000,0.000000
0.185781,0.357482,0.887667,-1.381115,0.000000,0.000000
0.185781,0.355757,0.887667,-1.381115,0.000000,0.000000
0.185781,0.354032,0.887667,-1.381115,0.000000,0.000000
0.185779,0.354032,0.887667,-1.381115,0.000000,0.000000
0.185777,0.352306,0.887667,-1.381115,0.000000,0.000000
0.185776,0.348855,0.887667,-1.380733,0.000000,0.000000
0.185773,0.345405,0.887667,-1.380733,0.000000,0.000000
0.185544,0.343680,0.887667,-1.380352,0.000000,0.000000
0.184468,0.341954,0.889392,-1.376919,0.000000,0.000000
0.182722,0.340229,0.889392,-1.368145,0.000000,0.000000
0.180721,0.341954,0.887667,-1.355556,0.000000,0.000000
0.178331,0.341954,0.887667,-1.349453,0.000000,0.000000
0.175705,0.340229,0.887667,-1.349453,0.000000,0.000000
0.172837,0.336779,0.887667,-1.349072,0.000000,0.000000
0.169338,0.336779,0.887667,-1.350597,0.000000,0.000000
0.165547,0.335053,0.887667,-1.351360,0.000000,0.000000
0.160941,0.331603,0.887667,-1.355175,0.000000,0.000000
0.156215,0.329877,0.889392,-1.354031,0.000000,0.000000
0.151792,0.329877,0.887667,-1.351360,0.000000,0.000000
0.147643,0.328152,0.884216,-1.339916,0.000000,0.000000
0.144073,0.328152,0.879040,-1.332286,0.000000,0.000000
0.141932,0.324701,0.870414,-1.325038,0.000000,0.000000
0.141123,0.324701,0.866963,-1.320079,0.000000,0.000000
0.141228,0.324701,0.866963,-1.316264,0.000000,0.000000
0.141214,0.324701,0.868688,-1.315501,0.000000,0.000000
0.141214,0.324701,0.866963,-1.316264,0.000000,0.000000
0.141214,0.324701,0.868688,-1.315883,0.000000,0.000000
0.141214,0.324701,0.866963,-1.315883,0.000000,0.000000
0.141217,0.324701,0.866963,-1.315120,0.000000,0.000000
0.141219,0.324701,0.866963,-1.313975,0.000000,0.000000
0.141228,0.324701,0.863513,-1.311687,0.000000,0.000000
0.141508,0.324701,0.856611,-1.309016,0.000000,0.000000
0.142857,0.324701,0.856611,-1.308635,0.000000,0.000000
0.147160,0.326427,0.860062,-1.313212,0.000000,0.000000
0.151045,0.329877,0.860062,-1.313594,0.000000,0.000000
0.156228,0.329877,0.861787,-1.314357,0.000000,0.000000
0.162316,0.329877,0.863513,-1.314357,0.000000,0.000000
0.169371,0.331603,0.865238,-1.314357,0.000000,0.000000
0.177232,0.333328,0.865238,-1.315883,0.000000,0.000000
0.185917,0.335053,0.872139,-1.324275,0.000000,0.000000
0.194530,0.341954,0.873864,-1.337626,0.000000,0.000000
0.203939,0.352306,0.872139,-1.354031,0.000000,0.000000
0.213751,0.359207,0.877315,-1.375774,0.000000,0.000000
0.223206,0.364383,0.889392,-1.391796,0.000000,0.000000
0.232555,0.366109,0.899744,-1.396374,0.000000,0.000000
0.240109,0.364383,0.927349,-1.400570,0.000000,0.000000
0.245219,0.348855,0.973932,-1.400570,0.000000,0.000000
0.246997,0.326427,1.022240,-1.400570,0.000000,0.000000
0.246836,0.307448,1.086076,-1.406293,0.000000,0.000000
0.246786,0.264316,1.229276,-1.436429,0.000000,0.000000
0.246786,0.224634,1.370751,-1.476103,0.000000,0.000000
0.246786,0.195304,1.503599,-1.502424,0.000000,0.000000
0.246783,0.164248,1.638172,-1.519972,0.000000,0.000000
0.246780,0.143545,1.762394,-1.519590,0.000000,0.000000
0.246780,0.138369,1.862461,-1.519590,0.000000,0.000000
0.246780,0.136644,1.948726,-1.514250,0.000000,0.000000
0.246771,0.148721,2.048794,-1.473433,0.000000,0.000000
0.246554,0.162523,2.105728,-1.439862,0.000000,0.000000
0.246233,0.171150,2.136784,-1.411633,0.000000,0.000000
0.244616,0.217733,2.176466,-1.350979,0.000000,0.000000
0.242818,0.255689,2.178191,-1.310542,0.000000,0.000000
0.238878,0.312624,2.162663,-1.236917,0.000000,0.000000
0.233317,0.362658,2.136784,-1.159478,0.000000,0.000000
0.228911,0.391988,2.117806,-1.113701,0.000000,0.000000
0.224142,0.419593,2.102278,-1.075934,0.000000,0.000000
0.217850,0.447198,2.078124,-1.037787,0.000000,0.000000
0.209063,0.473077,2.059146,-0.992392,0.000000,0.000000
0.200474,0.483429,2.028090,-0.907323,0.000000,0.000000
0.196471,0.492056,2.016013,-0.889011,0.000000,0.000000
0.189928,0.498957,2.003936,-0.879856,0.000000,0.000000
0.185373,0.502408,1.984957,-0.834079,0.000000,0.000000
0.182180,0.483429,1.981507,-0.769228,0.000000,0.000000
0.180759,0.454099,1.983232,-0.723070,0.000000,0.000000
0.179170,0.419593,1.988408,-0.674623,0.000000,0.000000
0.177140,0.369559,1.988408,-0.589935,0.000000,0.000000
0.176348,0.359207,1.983232,-0.519361,0.000000,0.000000
0.175480,0.360933,1.969430,-0.431623,0.000000,0.000000
0.174844,0.374735,1.959078,-0.370968,0.000000,0.000000
0.172840,0.412692,1.950452,-0.217234,0.000000,0.000000
0.169517,0.440297,1.953902,-0.095543,0.000000,0.000000
0.167299,0.455824,1.957353,-0.047858,0.000000,0.000000
0.164328,0.478253,1.955627,-0.004751,0.000000,0.000000
0.161269,0.493781,1.952177,0.028055,0.000000,0.000000
0.156156,0.509309,1.934924,0.074214,0.000000,0.000000
0.146425,0.531737,1.886616,0.166532,0.000000,0.000000
0.135802,0.564518,1.840032,0.214215,0.000000,0.000000
0.130328,0.590397,1.824505,0.213071,0.000000,0.000000
0.124932,0.611101,1.808977,0.212308,0.000000,0.000000
0.119775,0.630080,1.796900,0.209638,0.000000,0.000000
0.115025,0.647333,1.786548,0.209638,0.000000,0.000000
0.109260,0.668036,1.779647,0.219174,0.000000,0.000000
0.102458,0.687015,1.779647,0.264570,0.000000,0.000000
0.099715,0.692191,1.781372,0.300811,0.000000,0.000000
0.097878,0.692191,1.788274,0.342772,0.000000,0.000000
0.096714,0.690465,1.796900,0.371765,0.000000,0.000000
0.096134,0.683564,1.819329,0.371002,0.000000,0.000000
0.095445,0.661135,1.883165,0.362610,0.000000,0.000000
0.095427,0.649058,1.903868,0.370239,0.000000,0.000000
0.095422,0.631805,1.903868,0.440812,0.000000,0.000000
0.095343,0.616277,1.903868,0.477816,0.000000,0.000000
0.095041,0.602475,1.907319,0.487734,0.000000,0.000000
0.094153,0.592123,1.912495,0.498796,0.000000,0.000000
0.092431,0.588673,1.912495,0.517488,0.000000,0.000000
0.089718,0.588673,1.914220,0.527025,0.000000,0.000000
0.084640,0.597299,1.931473,0.523211,0.000000,0.000000
0.080652,0.600749,1.933199,0.523211,0.000000,0.000000
0.074614,0.600749,1.940099,0.522829,0.000000,0.000000
0.070880,0.600749,1.945276,0.518251,0.000000,0.000000
0.067606,0.599024,1.945276,0.521303,0.000000,0.000000
0.064650,0.600749,1.950452,0.526644,0.000000,0.000000
0.064169,0.600749,1.974606,0.507189,0.000000,0.000000
0.064167,0.600749,1.978057,0.497652,0.000000,0.000000
0.064165,0.611101,1.981507,0.492311,0.000000,0.000000
0.064165,0.621453,1.981507,0.478960,0.000000,0.000000
0.064165,0.631805,1.981507,0.462937,0.000000,0.000000
0.064165,0.636981,1.974606,0.463700,0.000000,0.000000
0.064165,0.636981,1.972881,0.467134,0.000000,0.000000
0.064165,0.636981,1.974606,0.466752,0.000000,0.000000
0.064165,0.636981,1.978057,0.466371,0.000000,0.000000
0.064165,0.638706,1.972881,0.466752,0.000000,0.000000
0.064165,0.636981,1.972881,0.466752,0.000000,0.000000
0.064165,0.638706,1.972881,0.466752,0.000000,0.000000
0.064165,0.638706,1.972881,0.466752,0.000000,0.000000
0.064165,0.640431,1.972881,0.466752,0.000000,0.000000
0.064165,0.642157,1.971155,0.466371,0.000000,0.000000
0.064165,0.643882,1.969430,0.466371,0.000000,0.000000
0.064165,0.645607,1.969430,0.466371,0.000000,0.000000
0.064165,0.645607,1.969430,0.466371,0.000000,0.000000
0.064165,0.645607,1.969430,0.466371,0.000000,0.000000
0.064165,0.645607,1.969430,0.465989,0.000000,0.000000
0.064165,0.645607,1.969430,0.465989,0.000000,0.000000
0.064165,0.645607,1.969430,0.465608,0.000000,0.000000
0.064165,0.645607,1.969430,0.462556,0.000000,0.000000
0.064165,0.645607,1.969430,0.462937,0.000000,0.000000
0.064165,0.645607,1.969430,0.462937,0.000000,0.000000
0.064165,0.645607,1.969430,0.462937,0.000000,0.000000
0.064165,0.645607,1.969430,0.462556,0.000000,0.000000
0.064165,0.645607,1.969430,0.462556,0.000000,0.000000
0.064165,0.645607,1.969430,0.462556,0.000000,0.000000
0.064165,0.645607,1.969430,0.462937,0.000000,0.000000
0.064165,0.645607,1.969430,0.462937,0.000000,0.000000
0.064165,0.645607,1.969430,0.462937,0.000000,0.000000
0.064165,0.645607,1.969430,0.462937,0.000000,0.000000
0.064165,0.645607,1.969430,0.462937,0.000000,0.000000
0.064165,0.645607,1.969430,0.462937,0.000000,0.000000
0.064165,0.645607,1.969430,0.462937,0.000000,0.000000
0.064165,0.645607,1.969430,0.463319,0.000000,0.000000
0.064165,0.645607,1.969430,0.463700,0.000000,0.000000
0.064165,0.645607,1.969430,0.463700,0.000000,0.000000
0.064165,0.645607,1.969430,0.463700,0.000000,0.000000
0.064165,0.645607,1.969430,0.463700,0.000000,0.000000
0.064165,0.645607,1.969430,0.463700,0.000000,0.000000
0.064165,0.643882,1.967705,0.464082,0.000000,0.000000
0.064165,0.642157,1.962529,0.467134,0.000000,0.000000
