I0,I1,I2,I3,I4,I5
0.200566,-0.130778,-1.196496,1.200330,0.000000,0.000000
0.200566,-0.130778,-1.196496,1.199948,0.000000,0.000000
0.200566,-0.130778,-1.196496,1.200330,0.000000,0.000000
0.200566,-0.130778,-1.196496,1.199948,0.000000,0.000000
0.200566,-0.130778,-1.196496,1.199948,0.000000,0.000000
0.200566,-0.130778,-1.196496,1.199948,0.000000,0.000000
0.200566,-0.130778,-1.196496,1.199948,0.000000,0.000000
0.200566,-0.130778,-1.196496,1.199948,0.000000,0.000000
0.200566,-0.130778,-1.196496,1.199948,0.000000,0.000000
0.200566,-0.130778,-1.196496,1.199567,0.000000,0.000000
0.200566,-0.130778,-1.196496,1.199567,0.000000,0.000000
0.200566,-0.130778,-1.196496,1.199567,0.000000,0.000000
0.200566,-0.130778,-1.196496,1.199567,0.000000,0.000000
0.200566,-0.130778,-1.194770,1.199567,0.000000,0.000000
0.200566,-0.130778,-1.194770,1.199567,0.000000,0.000000
0.200566,-0.130778,-1.194770,1.199185,0.000000,0.000000
0.200564,-0.129052,-1.194770,1.199185,0.000000,0.000000
0.200564,-0.129052,-1.193045,1.199185,0.000000,0.000000
0.200564,-0.129052,-1.187869,1.199185,0.000000,0.000000
0.200561,-0.129052,-1.182693,1.198804,0.000000,0.000000
0.200561,-0.129052,-1.175792,1.194608,0.000000,0.000000
0.200559,-0.129052,-1.167166,1.182019,0.000000,0.000000
0.200558,-0.129052,-1.156814,1.170957,0.000000,0.000000
0.200558,-0.129052,-1.139561,1.159893,0.000000,0.000000
0.200554,-0.130778,-1.127484,1.149593,0.000000,0.000000
0.200459,-0.130778,-1.118857,1.143108,0.000000,0.000000
0.200006,-0.130778,-1.113681,1.140057,0.000000,0.000000
0.199119,-0.130778,-1.113681,1.140057,0.000000,0.000000
0.197939,-0.129052,-1.113681,1.139675,0.000000,0.000000
0.196497,-0.125602,-1.113681,1.138912,0.000000,0.000000
0.195050,-0.125602,-1.113681,1.137768,0.000000,0.000000
0.193545,-0.127327,-1.111956,1.127468,0.000000,0.000000
0.190457,-0.127327,-1.108505,1.095424,0.000000,0.000000
0.188432,-0.134228,-1.105055,1.093898,0.000000,0.000000
0.187661,-0.134228,-1.105055,1.095042,0.000000,0.000000
0.186794,-0.134228,-1.105055,1.095805,0.000000,0.000000
0.185894,-0.134228,-1.101604,1.095805,0.000000,0.000000
0.184901,-0.134228,-1.099879,1.095424,0.000000,0.000000
0.183741,-0.134228,-1.096428,1.095424,0.000000,0.000000
0.182426,-0.134228,-1.096428,1.095424,0.000000,0.000000
0.181052,-0.134228,-1.096428,1.095805,0.000000,0.000000
0.177415,-0.134228,-1.096428,1.095424,0.000000,0.000000
0.175470,-0.134228,-1.096428,1.095424,0.000000,0.000000
0.173339,-0.134228,-1.098154,1.095805,0.000000,0.000000
0.170871,-0.134228,-1.096428,1.095805,0.000000,0.000000
0.164628,-0.134228,-1.098154,1.095805,0.000000,0.000000
0.161746,-0.134228,-1.098154,1.095042,0.000000,0.000000
0.158160,-0.134228,-1.094703,1.093898,0.000000,0.000000
0.156083,-0.134228,-1.091253,1.090846,0.000000,0.000000
0.154588,-0.134228,-1.089527,1.083598,0.000000,0.000000
0.153139,-0.134228,-1.084351,1.074824,0.000000,0.000000
0.152446,-0.134228,-1.084351,1.073680,0.000000,0.000000
0.152320,-0.134228,-1.082626,1.072917,0.000000,0.000000
0.152319,-0.134228,-1.082626,1.072917,0.000000,0.000000
0.152319,-0.134228,-1.082626,1.072536,0.000000,0.000000
0.152319,-0.134228,-1.082626,1.071391,0.000000,0.000000
0.152321,-0.134228,-1.082626,1.071773,0.000000,0.000000
0.152321,-0.134228,-1.080901,1.071773,0.000000,0.000000
0.152321,-0.134228,-1.077450,1.071773,0.000000,0.000000
0.152325,-0.134228,-1.073999,1.071773,0.000000,0.000000
0.152333,-0.137679,-1.067098,1.071773,0.000000,0.000000
0.152727,-0.142855,-1.058472,1.072154,0.000000,0.000000
0.153794,-0.146305,-1.056746,1.076732,0.000000,0.000000
0.155671,-0.148031,-1.056746,1.092753,0.000000,0.000000
0.158369,-0.151481,-1.055021,1.098095,0.000000,0.000000
0.162290,-0.153207,-1.053296,1.097713,0.000000,0.000000
0.165886,-0.153207,-1.053296,1.097713,0.000000,0.000000
0.170168,-0.151481,-1.053296,1.098095,0.000000,0.000000
0.175134,-0.151481,-1.051571,1.097713,0.000000,0.000000
0.183422,-0.151481,-1.053296,1.096950,0.000000,0.000000
0.198169,-0.151481,-1.053296,1.095805,0.000000,0.000000
0.205727,-0.151481,-1.053296,1.096187,0.000000,0.000000
0.217291,-0.148031,-1.056746,1.096187,0.000000,0.000000
0.236545,-0.137679,-1.075725,1.088176,0.000000,0.000000
0.244448,-0.134228,-1.084351,1.075206,0.000000,0.000000
0.254147,-0.127327,-1.101604,1.061473,0.000000,0.000000
0.259762,-0.125602,-1.117132,1.040111,0.000000,0.000000
0.265347,-0.104898,-1.165440,0.991663,0.000000,0.000000
0.268130,-0.082469,-1.213749,0.947793,0.000000,0.000000
0.270250,-0.030710,-1.355223,0.849373,0.000000,0.000000
0.270178,-0.013457,-1.431137,0.808173,0.000000,0.000000
0.270177,-0.001380,-1.507050,0.774984,0.000000,0.000000
0.270170,-0.003106,-1.619194,0.725393,0.000000,0.000000
0.270156,-0.028985,-1.789999,0.631168,0.000000,0.000000
0.269912,-0.058315,-1.883165,0.562121,0.000000,0.000000
0.269865,-0.077293,-1.945276,0.516344,0.000000,0.000000
0.269853,-0.099722,-2.005661,0.471711,0.000000,0.000000
0.269845,-0.132503,-2.060871,0.434709,0.000000,0.000000
0.269755,-0.161833,-2.119531,0.395798,0.000000,0.000000
0.269573,-0.187713,-2.160939,0.358032,0.000000,0.000000
0.269122,-0.223944,-2.216148,0.299285,0.000000,0.000000
0.267570,-0.275703,-2.278259,0.198956,0.000000,0.000000
0.266526,-0.292956,-2.295512,0.137920,0.000000,0.000000
0.264573,-0.299857,-2.321391,0.049418,0.000000,0.000000
0.262320,-0.298132,-2.335194,-0.029548,0.000000,0.000000
0.259597,-0.289505,-2.333468,-0.093636,0.000000,0.000000
0.256031,-0.275703,-2.330018,-0.139030,0.000000,0.000000
0.248869,-0.265351,-2.290336,-0.198541,0.000000,0.000000
0.239308,-0.261901,-2.229950,-0.288951,0.000000,0.000000
0.228051,-0.261901,-2.157488,-0.373638,0.000000,0.000000
0.220474,-0.261901,-2.110905,-0.417890,0.000000,0.000000
0.214936,-0.267076,-2.090201,-0.438107,0.000000,0.000000
0.207002,-0.275703,-2.066047,-0.462903,0.000000,0.000000
0.200998,-0.280879,-2.057420,-0.481215,0.000000,0.000000
0.192606,-0.287780,-2.052245,-0.503721,0.000000,0.000000
0.180834,-0.303308,-2.053970,-0.520124,0.000000,0.000000
0.171687,-0.327462,-2.055695,-0.513639,0.000000,0.000000
0.163730,-0.353341,-2.040167,-0.512877,0.000000,0.000000
0.156518,-0.377496,-2.026365,-0.510969,0.000000,0.000000
0.152241,-0.387847,-2.028090,-0.497999,0.000000,0.000000
0.146556,-0.405100,-2.028090,-0.497236,0.000000,0.000000
0.144189,-0.413727,-2.028090,-0.497236,0.000000,0.000000
0.139891,-0.443057,-2.026365,-0.497618,0.000000,0.000000
0.136886,-0.467211,-2.021189,-0.505629,0.000000,0.000000
0.134033,-0.499992,-2.016013,-0.512877,0.000000,0.000000
0.131251,-0.524146,-2.010837,-0.535003,0.000000,0.000000
0.126916,-0.546575,-1.991859,-0.567809,0.000000,0.000000
0.122810,-0.548300,-1.974606,-0.609009,0.000000,0.000000
0.120723,-0.548300,-1.967705,-0.623505,0.000000,0.000000
0.116694,-0.550026,-1.959078,-0.642197,0.000000,0.000000
0.113809,-0.550026,-1.957353,-0.646774,0.000000,0.000000
0.111147,-0.550026,-1.957353,-0.654405,0.000000,0.000000
0.106693,-0.558652,-1.957353,-0.655549,0.000000,0.000000
0.101963,-0.569004,-1.957353,-0.655931,0.000000,0.000000
0.098568,-0.570729,-1.957353,-0.655931,0.000000,0.000000
0.095166,-0.569004,-1.965980,-0.655931,0.000000,0.000000
0.089686,-0.532773,-2.016013,-0.655549,0.000000,0.000000
0.085837,-0.499992,-2.060871,-0.643341,0.000000,0.000000
0.081988,-0.482739,-2.085025,-0.600616,0.000000,0.000000
0.076757,-0.481014,-2.081575,-0.573913,0.000000,0.000000
0.072901,-0.479288,-2.076399,-0.609009,0.000000,0.000000
0.071211,-0.477563,-2.079849,-0.607483,0.000000,0.000000
0.069945,-0.475838,-2.071223,-0.614731,0.000000,0.000000
0.069521,-0.474112,-2.062596,-0.638763,0.000000,0.000000
0.069271,-0.474112,-2.062596,-0.641052,0.000000,0.000000
0.068729,-0.474112,-2.055695,-0.652879,0.000000,0.000000
0.068387,-0.474112,-2.055695,-0.658219,0.000000,0.000000
